Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
2024-12-23,PA009,Tokyo,New York,First Class,630,No,2,Dairy Free
2024-12-04,PA011,Tokyo,Perth,First Class,295,No,3,Vegan
2024-10-24,PA010,New York,Tokyo,Business Class,333,Yes,2,Egg Free
2024-02-28,PA009,Tokyo,New York,First Class,403,Yes,3,None
2024-06-06,PA001,New York,London,Business Class,570,Yes,2,None
2024-09-20,PA010,New York,Tokyo,Premium Economy,1305,Yes,0,Egg Free
2024-02-19,PA004,London,Perth,First Class,260,Yes,1,Dairy Free
2024-12-10,PA011,Tokyo,Perth,Economy,2830,Yes,2,Vegan
2024-07-22,PA004,London,Perth,Economy,3170,No,1,Vegan
2024-11-12,PA009,Tokyo,New York,First Class,344,Yes,2,Vegan
2024-09-28,PA009,Tokyo,New York,Economy,3390,Yes,2,Dairy Free
2024-03-11,PA011,Tokyo,Perth,Business Class,560,No,0,None
2024-05-24,PA008,New York,Perth,First Class,553,No,3,Vegetarian
2024-10-02,PA001,New York,London,First Class,517,Yes,2,Vegan
2024-02-02,PA005,Tokyo,London,Business Class,793,No,2,Egg Free
2024-03-30,PA003,Perth,London,Premium Economy,537,No,1,Dairy Free
2024-10-03,PA012,Perth,Tokyo,Premium Economy,682,No,2,None
2024-03-23,PA010,New York,Tokyo,Economy,1755,No,1,Vegan
2024-08-15,PA008,New York,Perth,Business Class,596,No,1,Dairy Free
2024-08-12,PA006,London,Tokyo,Premium Economy,615,Yes,3,Vegetarian
2024-10-07,PA008,New York,Perth,First Class,642,Yes,3,Vegetarian
2024-03-03,PA003,Perth,London,Business Class,334,No,3,Vegan
2024-04-04,PA005,Tokyo,London,First Class,521,Yes,0,Nut Free
2024-02-05,PA012,Perth,Tokyo,Business Class,578,No,0,Nut Free
2024-01-09,PA012,Perth,Tokyo,First Class,406,No,1,Nut Free
2024-06-26,PA011,Tokyo,Perth,First Class,437,No,2,None
2024-08-08,PA008,New York,Perth,Economy,3245,No,0,Egg Free
2024-03-04,PA009,Tokyo,New York,Premium Economy,1440,No,2,Vegetarian
2024-07-02,PA004,London,Perth,Business Class,417,No,3,Vegan
2024-09-09,PA011,Tokyo,Perth,Premium Economy,592,No,1,Dairy Free
2024-03-05,PA006,London,Tokyo,Business Class,682,No,2,Dairy Free
2024-09-30,PA011,Tokyo,Perth,First Class,676,No,1,Egg Free
2024-03-24,PA006,London,Tokyo,First Class,418,No,1,None
2024-12-04,PA007,Perth,New York,First Class,564,No,2,None
2024-07-28,PA001,New York,London,Economy,2670,No,0,Vegetarian
2024-07-30,PA003,Perth,London,First Class,612,Yes,1,Vegetarian
2024-05-29,PA009,Tokyo,New York,Business Class,294,Yes,0,Nut Free
2024-01-04,PA002,London,New York,First Class,684,Yes,1,Dairy Free
2024-01-06,PA011,Tokyo,Perth,Economy,3420,No,0,Dairy Free
2024-02-26,PA007,Perth,New York,Business Class,596,No,0,Vegetarian
2024-01-16,PA007,Perth,New York,Business Class,406,Yes,3,None
2024-08-09,PA003,Perth,London,Premium Economy,1572,Yes,3,Nut Free
2024-06-13,PA006,London,Tokyo,Economy,2475,No,0,Egg Free
2024-07-13,PA010,New York,Tokyo,First Class,403,Yes,1,Nut Free
2024-10-13,PA012,Perth,Tokyo,Premium Economy,1352,Yes,0,Dairy Free
2024-05-13,PA007,Perth,New York,Business Class,355,No,0,Dairy Free
2024-07-20,PA011,Tokyo,Perth,First Class,606,Yes,1,Egg Free
2024-08-27,PA005,Tokyo,London,Economy,3080,Yes,2,Vegetarian
2024-03-25,PA002,London,New York,Premium Economy,1342,Yes,2,Dairy Free
2024-12-09,PA006,London,Tokyo,Economy,1665,No,3,Dairy Free
2024-07-07,PA005,Tokyo,London,First Class,225,No,0,Vegetarian
2024-08-09,PA006,London,Tokyo,Business Class,658,Yes,2,Vegan
2024-03-15,PA002,London,New York,Economy,2870,No,2,Vegetarian
2024-05-22,PA006,London,Tokyo,Premium Economy,1660,Yes,3,Egg Free
2024-01-14,PA012,Perth,Tokyo,First Class,379,Yes,0,Egg Free
2024-09-06,PA006,London,Tokyo,Business Class,272,Yes,1,Vegan
2024-05-09,PA004,London,Perth,Business Class,693,No,1,None
2024-04-11,PA011,Tokyo,Perth,Economy,1410,Yes,0,Nut Free
2024-02-19,PA012,Perth,Tokyo,Premium Economy,897,No,3,Vegan
2024-09-01,PA005,Tokyo,London,Business Class,243,Yes,1,None
2024-11-18,PA008,New York,Perth,Premium Economy,1127,Yes,1,None
2024-12-31,PA005,Tokyo,London,First Class,247,Yes,3,Nut Free
2024-08-03,PA011,Tokyo,Perth,Economy,2695,Yes,0,Nut Free
2024-07-16,PA009,Tokyo,New York,First Class,396,No,3,Nut Free
2024-07-25,PA010,New York,Tokyo,Business Class,835,No,0,Vegetarian
2024-10-10,PA001,New York,London,Premium Economy,1135,No,2,Nut Free
2024-01-10,PA005,Tokyo,London,Business Class,651,No,0,Dairy Free
2024-04-01,PA005,Tokyo,London,Economy,1255,No,0,Dairy Free
2024-05-31,PA009,Tokyo,New York,First Class,484,Yes,1,None
2024-08-10,PA004,London,Perth,Economy,2050,No,2,Vegan
2024-12-19,PA006,London,Tokyo,First Class,216,Yes,1,Egg Free
2024-10-14,PA001,New York,London,Economy,1510,No,2,Vegan
2024-03-22,PA012,Perth,Tokyo,First Class,481,No,3,Dairy Free
2024-01-14,PA005,Tokyo,London,First Class,660,No,3,None
2024-09-26,PA004,London,Perth,First Class,258,No,2,Vegetarian
2024-02-07,PA001,New York,London,Business Class,266,Yes,0,None
2024-09-08,PA010,New York,Tokyo,Premium Economy,877,No,3,Dairy Free
2024-07-18,PA002,London,New York,Economy,2915,No,0,Egg Free
2024-01-24,PA012,Perth,Tokyo,Economy,3370,Yes,0,Vegan
2024-01-21,PA012,Perth,Tokyo,Business Class,422,Yes,0,Vegetarian
2024-07-05,PA002,London,New York,First Class,677,No,0,Nut Free
2024-04-18,PA003,Perth,London,First Class,350,Yes,1,Egg Free
2024-11-01,PA011,Tokyo,Perth,Economy,1745,No,2,Nut Free
2024-10-17,PA005,Tokyo,London,Business Class,708,No,2,None
2024-03-03,PA006,London,Tokyo,Business Class,790,No,2,Egg Free
2024-07-11,PA011,Tokyo,Perth,First Class,237,Yes,2,Vegetarian
2024-11-19,PA006,London,Tokyo,Premium Economy,1295,Yes,3,None
2024-03-10,PA012,Perth,Tokyo,First Class,412,No,2,Egg Free
2024-12-19,PA001,New York,London,Business Class,571,Yes,1,Dairy Free
2024-01-05,PA004,London,Perth,First Class,251,No,0,None
2024-02-03,PA008,New York,Perth,Business Class,421,Yes,3,Dairy Free
2024-11-28,PA009,Tokyo,New York,Premium Economy,1017,No,3,Vegan
2024-02-06,PA004,London,Perth,First Class,306,Yes,2,Dairy Free
2024-04-10,PA011,Tokyo,Perth,Economy,1695,Yes,0,Vegetarian
2024-11-08,PA007,Perth,New York,First Class,255,No,1,Dairy Free
2024-01-07,PA002,London,New York,Economy,3215,No,0,Vegan
2024-10-30,PA006,London,Tokyo,Premium Economy,730,No,0,Nut Free
2024-05-14,PA003,Perth,London,Economy,2940,No,3,Vegan
2024-12-26,PA006,London,Tokyo,Premium Economy,570,No,0,Dairy Free
2024-12-26,PA009,Tokyo,New York,Business Class,343,No,3,None
2024-02-19,PA011,Tokyo,Perth,Business Class,558,No,1,None
2024-04-26,PA005,Tokyo,London,Economy,1645,No,2,Vegan
2024-11-14,PA011,Tokyo,Perth,First Class,435,No,0,Vegan
2024-11-12,PA009,Tokyo,New York,Premium Economy,550,No,2,None
2024-05-20,PA003,Perth,London,Business Class,399,No,0,Egg Free
2024-02-24,PA007,Perth,New York,First Class,266,No,2,Egg Free
2024-11-21,PA006,London,Tokyo,Business Class,367,Yes,0,None
2024-02-16,PA003,Perth,London,First Class,618,Yes,3,Nut Free
2024-12-02,PA001,New York,London,Premium Economy,1037,Yes,3,Vegetarian
2024-08-11,PA008,New York,Perth,Business Class,294,Yes,3,Vegan
2024-12-11,PA008,New York,Perth,Business Class,834,Yes,0,Egg Free
2024-07-24,PA010,New York,Tokyo,First Class,560,No,0,Dairy Free
2024-07-24,PA001,New York,London,Economy,1520,No,1,Egg Free
2024-05-10,PA008,New York,Perth,First Class,572,No,1,Nut Free
2024-07-27,PA005,Tokyo,London,Premium Economy,1375,No,3,Dairy Free
2024-03-23,PA005,Tokyo,London,Business Class,741,No,3,Vegan
2024-04-09,PA008,New York,Perth,Premium Economy,1307,Yes,0,None
2024-07-12,PA002,London,New York,Business Class,795,No,1,Vegetarian
2024-03-06,PA006,London,Tokyo,Premium Economy,1220,Yes,2,Nut Free
2024-06-15,PA004,London,Perth,Business Class,433,No,3,Vegan
2024-10-25,PA007,Perth,New York,First Class,485,Yes,3,Dairy Free
2024-07-11,PA002,London,New York,Economy,3080,Yes,2,Nut Free
2024-03-13,PA005,Tokyo,London,First Class,518,Yes,1,Dairy Free
2024-01-13,PA001,New York,London,Business Class,540,No,1,Dairy Free
2024-01-24,PA011,Tokyo,Perth,Economy,3060,Yes,3,Vegan
2024-07-07,PA011,Tokyo,Perth,First Class,462,No,2,None
2024-10-15,PA010,New York,Tokyo,First Class,294,No,0,Vegetarian
2024-11-26,PA012,Perth,Tokyo,Business Class,459,No,0,Nut Free
2024-01-09,PA006,London,Tokyo,Premium Economy,640,No,1,Vegetarian
2024-09-17,PA001,New York,London,Economy,2000,Yes,3,Vegan
2024-05-14,PA011,Tokyo,Perth,Business Class,411,No,2,Vegetarian
2024-12-23,PA009,Tokyo,New York,Business Class,474,No,2,Nut Free
2024-08-08,PA001,New York,London,First Class,627,Yes,1,Nut Free
2024-07-01,PA009,Tokyo,New York,Economy,3005,No,1,Vegetarian
2024-12-23,PA009,Tokyo,New York,Premium Economy,922,Yes,2,Egg Free
2024-05-14,PA001,New York,London,Business Class,583,Yes,2,Vegan
2024-02-15,PA008,New York,Perth,Premium Economy,1732,Yes,3,Nut Free
2024-07-27,PA004,London,Perth,First Class,217,No,2,Vegetarian
2024-10-02,PA010,New York,Tokyo,Premium Economy,927,Yes,3,Vegetarian
2024-09-16,PA001,New York,London,Economy,2415,Yes,2,None
2024-07-10,PA009,Tokyo,New York,Premium Economy,1142,Yes,2,None
2024-03-14,PA005,Tokyo,London,Economy,2250,No,2,Vegetarian
2024-08-12,PA003,Perth,London,Economy,2750,Yes,1,Dairy Free
2024-11-17,PA001,New York,London,First Class,519,No,3,Egg Free
2024-03-06,PA012,Perth,Tokyo,Economy,1380,Yes,0,Egg Free
2024-01-28,PA004,London,Perth,Economy,2990,Yes,3,Nut Free
2024-01-09,PA011,Tokyo,Perth,First Class,692,No,2,Vegan
2024-08-22,PA011,Tokyo,Perth,Business Class,517,No,3,Nut Free
2024-07-24,PA012,Perth,Tokyo,Premium Economy,1075,Yes,0,Vegetarian
2024-01-17,PA010,New York,Tokyo,Premium Economy,1325,Yes,0,Nut Free
2024-08-20,PA008,New York,Perth,Premium Economy,1292,No,1,Egg Free
2024-03-01,PA004,London,Perth,Premium Economy,1447,Yes,3,None
2024-09-02,PA006,London,Tokyo,First Class,642,Yes,1,Vegetarian
2024-10-23,PA009,Tokyo,New York,Premium Economy,740,Yes,0,Egg Free
2024-07-16,PA012,Perth,Tokyo,Economy,1170,Yes,2,Dairy Free
2024-09-25,PA008,New York,Perth,Business Class,270,No,2,Vegetarian
2024-04-04,PA009,Tokyo,New York,First Class,691,Yes,3,Egg Free
2024-04-30,PA010,New York,Tokyo,First Class,626,No,1,Vegetarian
2024-07-31,PA005,Tokyo,London,Business Class,577,Yes,3,Nut Free
2024-04-02,PA008,New York,Perth,First Class,634,No,0,None
2024-05-28,PA009,Tokyo,New York,First Class,564,No,3,Vegan
2024-10-22,PA006,London,Tokyo,Premium Economy,1020,Yes,1,Egg Free
2024-07-27,PA009,Tokyo,New York,Premium Economy,707,No,3,Vegan
2024-03-23,PA002,London,New York,Premium Economy,870,No,2,None
2024-08-24,PA004,London,Perth,Economy,2985,Yes,2,Vegan
2024-12-01,PA010,New York,Tokyo,Business Class,524,No,0,Vegan
2024-03-23,PA003,Perth,London,Premium Economy,1302,Yes,3,Vegetarian
2024-07-20,PA007,Perth,New York,Premium Economy,1677,Yes,0,Dairy Free
2024-05-11,PA005,Tokyo,London,Business Class,747,Yes,1,Nut Free
2024-11-30,PA004,London,Perth,Premium Economy,1357,Yes,2,Nut Free
2024-04-20,PA006,London,Tokyo,Economy,3015,Yes,0,Nut Free
2024-07-30,PA004,London,Perth,First Class,437,No,0,Vegetarian
2024-04-01,PA011,Tokyo,Perth,Business Class,289,No,0,Vegan
2024-03-29,PA009,Tokyo,New York,First Class,550,No,3,None
2024-02-19,PA008,New York,Perth,Economy,2515,Yes,2,Egg Free
2024-04-27,PA007,Perth,New York,First Class,689,Yes,0,Vegan
2024-11-10,PA009,Tokyo,New York,Premium Economy,1225,Yes,3,Nut Free
2024-03-29,PA009,Tokyo,New York,First Class,500,Yes,1,Egg Free
2024-01-17,PA005,Tokyo,London,Premium Economy,942,Yes,3,Nut Free
2024-03-17,PA001,New York,London,Economy,2880,Yes,0,None
2024-07-28,PA003,Perth,London,Business Class,328,No,2,Dairy Free
2024-05-17,PA005,Tokyo,London,Economy,3390,No,0,Nut Free
2024-09-02,PA007,Perth,New York,First Class,570,Yes,1,Vegan
2024-08-31,PA006,London,Tokyo,Premium Economy,1325,No,2,Egg Free
2024-09-25,PA003,Perth,London,Business Class,762,Yes,0,Vegan
2024-07-21,PA002,London,New York,Economy,2340,Yes,0,Nut Free
2024-09-07,PA005,Tokyo,London,First Class,388,Yes,0,Vegetarian
2024-11-07,PA007,Perth,New York,First Class,345,Yes,3,Nut Free
2024-08-02,PA002,London,New York,Premium Economy,1667,Yes,3,Vegetarian
2024-01-30,PA002,London,New York,First Class,699,No,2,Dairy Free
2024-08-28,PA001,New York,London,Economy,1925,Yes,2,Dairy Free
2024-02-24,PA005,Tokyo,London,First Class,688,Yes,3,Egg Free
2024-03-25,PA009,Tokyo,New York,Business Class,313,No,1,Vegetarian
2024-04-14,PA005,Tokyo,London,Premium Economy,665,Yes,1,Nut Free
2024-10-24,PA009,Tokyo,New York,Economy,3235,Yes,0,Vegetarian
2024-03-31,PA007,Perth,New York,Premium Economy,935,Yes,3,Vegan
2024-02-13,PA005,Tokyo,London,First Class,278,No,2,Nut Free
2024-06-29,PA002,London,New York,Business Class,452,Yes,1,Vegan
2024-01-19,PA005,Tokyo,London,Economy,2525,Yes,3,Egg Free
2024-09-30,PA009,Tokyo,New York,Economy,1820,No,2,Dairy Free
2024-04-04,PA003,Perth,London,Economy,1325,Yes,1,Nut Free
2024-08-05,PA009,Tokyo,New York,Economy,2055,No,0,Nut Free
2024-03-08,PA012,Perth,Tokyo,Economy,1360,No,2,Nut Free
2024-04-23,PA003,Perth,London,Premium Economy,1342,No,3,Egg Free
2024-01-18,PA010,New York,Tokyo,Economy,1710,No,1,None
2024-08-10,PA008,New York,Perth,First Class,251,Yes,1,None
2024-05-05,PA006,London,Tokyo,Economy,1310,Yes,0,Vegan
2024-12-02,PA001,New York,London,Premium Economy,1255,Yes,2,Dairy Free
2024-07-10,PA011,Tokyo,Perth,Business Class,241,Yes,2,Egg Free
2024-09-21,PA007,Perth,New York,Premium Economy,807,Yes,0,Nut Free
2024-10-08,PA008,New York,Perth,Business Class,414,Yes,0,Vegetarian
2024-10-07,PA008,New York,Perth,Economy,2685,Yes,3,Vegan
2024-10-04,PA004,London,Perth,Premium Economy,945,Yes,1,Egg Free
2024-10-08,PA003,Perth,London,Business Class,758,Yes,1,Egg Free
2024-05-19,PA010,New York,Tokyo,Economy,3180,No,1,Nut Free
2024-09-25,PA010,New York,Tokyo,First Class,476,No,0,Vegan
2024-09-15,PA006,London,Tokyo,Premium Economy,1090,Yes,2,Vegan
2024-01-24,PA005,Tokyo,London,Economy,2935,No,3,Vegetarian
2024-04-25,PA005,Tokyo,London,Economy,1335,No,0,Vegan
2024-07-29,PA001,New York,London,Premium Economy,1477,Yes,1,Dairy Free
2024-07-03,PA006,London,Tokyo,Premium Economy,887,No,1,Dairy Free
2024-09-27,PA012,Perth,Tokyo,Business Class,657,Yes,2,Vegetarian
2024-03-18,PA006,London,Tokyo,First Class,335,No,1,Nut Free
2024-09-28,PA011,Tokyo,Perth,Business Class,580,Yes,2,None
2024-09-23,PA008,New York,Perth,Economy,1205,Yes,1,Dairy Free
2024-07-30,PA007,Perth,New York,Premium Economy,1632,Yes,2,Dairy Free
2024-05-28,PA009,Tokyo,New York,Premium Economy,1122,No,1,Vegetarian
2024-03-02,PA008,New York,Perth,Premium Economy,1567,No,0,None
2024-12-15,PA004,London,Perth,First Class,336,No,0,None
2024-08-29,PA004,London,Perth,Business Class,561,No,2,Vegetarian
2024-10-09,PA007,Perth,New York,First Class,327,No,0,Egg Free
2024-04-20,PA006,London,Tokyo,Premium Economy,507,No,0,Vegan
2024-11-05,PA008,New York,Perth,Premium Economy,620,No,1,Nut Free
2024-07-27,PA006,London,Tokyo,Business Class,793,No,0,None
2024-06-27,PA004,London,Perth,Economy,1280,No,3,Vegan
2024-03-15,PA004,London,Perth,First Class,449,Yes,2,Vegan
2024-11-20,PA009,Tokyo,New York,Business Class,613,No,3,Vegan
2024-04-24,PA011,Tokyo,Perth,Economy,1870,Yes,1,Vegetarian
2024-05-01,PA004,London,Perth,Economy,2500,No,3,Dairy Free
2024-11-14,PA004,London,Perth,Economy,2290,Yes,2,Nut Free
2024-05-08,PA003,Perth,London,Premium Economy,832,No,1,Nut Free
2024-07-19,PA011,Tokyo,Perth,Economy,3105,No,1,Nut Free
2024-07-07,PA002,London,New York,Business Class,530,Yes,3,Nut Free
2024-03-02,PA001,New York,London,First Class,323,Yes,0,Vegan
2024-05-08,PA006,London,Tokyo,First Class,440,Yes,2,None
2024-07-07,PA001,New York,London,Economy,2905,No,0,None
2024-11-04,PA009,Tokyo,New York,Economy,1970,No,1,Vegetarian
2024-09-02,PA012,Perth,Tokyo,Premium Economy,570,Yes,3,Nut Free
2024-05-19,PA010,New York,Tokyo,First Class,362,Yes,2,None
2024-03-10,PA012,Perth,Tokyo,Economy,1965,No,0,Nut Free
2024-10-20,PA009,Tokyo,New York,Economy,2210,No,2,None
2024-11-30,PA010,New York,Tokyo,Economy,3250,No,2,Egg Free
2024-10-19,PA002,London,New York,Premium Economy,1130,Yes,0,None
2024-10-03,PA008,New York,Perth,Economy,1140,Yes,0,Vegan
2024-06-10,PA004,London,Perth,First Class,478,Yes,3,Nut Free
2024-12-30,PA001,New York,London,First Class,487,No,3,Dairy Free
2024-02-02,PA002,London,New York,Economy,1530,Yes,0,Nut Free
2024-10-22,PA001,New York,London,Economy,2960,No,0,Egg Free
2024-08-29,PA007,Perth,New York,Economy,1265,Yes,3,Nut Free
2024-03-27,PA004,London,Perth,Economy,2985,No,3,Nut Free
2024-11-30,PA001,New York,London,First Class,401,Yes,3,Nut Free
2024-09-17,PA009,Tokyo,New York,Business Class,400,No,0,Egg Free
2024-11-16,PA008,New York,Perth,First Class,536,No,1,Nut Free
2024-11-23,PA001,New York,London,Economy,2595,No,2,Vegetarian
2024-12-05,PA004,London,Perth,Business Class,609,Yes,0,None
2024-12-03,PA004,London,Perth,Premium Economy,802,No,2,Nut Free
2024-11-29,PA009,Tokyo,New York,Economy,2375,Yes,0,Vegetarian
2024-10-25,PA010,New York,Tokyo,First Class,466,Yes,1,Nut Free
2024-08-28,PA005,Tokyo,London,Premium Economy,1122,Yes,2,Dairy Free
2024-06-15,PA001,New York,London,Premium Economy,1005,Yes,3,Vegan
2024-12-26,PA008,New York,Perth,First Class,297,Yes,3,None
2024-07-06,PA007,Perth,New York,Economy,3465,No,1,Nut Free
2024-02-21,PA011,Tokyo,Perth,Economy,2505,No,2,Vegan
2024-05-17,PA002,London,New York,Premium Economy,1547,Yes,2,Dairy Free
2024-07-30,PA004,London,Perth,First Class,552,Yes,0,None
2024-11-04,PA008,New York,Perth,Business Class,432,Yes,0,Egg Free
2024-05-22,PA008,New York,Perth,First Class,451,No,1,Dairy Free
2024-10-20,PA006,London,Tokyo,Premium Economy,802,Yes,1,None
2024-03-29,PA012,Perth,Tokyo,Business Class,508,Yes,2,Dairy Free
2024-07-26,PA002,London,New York,Economy,2885,Yes,0,Vegetarian
2024-06-14,PA012,Perth,Tokyo,First Class,312,No,2,Vegetarian
2024-10-04,PA003,Perth,London,Business Class,711,Yes,1,Egg Free
2024-12-01,PA010,New York,Tokyo,Premium Economy,1677,Yes,0,Nut Free
2024-10-06,PA012,Perth,Tokyo,Premium Economy,510,No,2,Dairy Free
2024-03-09,PA012,Perth,Tokyo,Premium Economy,840,Yes,0,Nut Free
2024-08-23,PA002,London,New York,Economy,2010,Yes,2,Dairy Free
2024-10-10,PA006,London,Tokyo,Premium Economy,780,No,3,Nut Free
2024-06-25,PA005,Tokyo,London,Premium Economy,1152,Yes,2,None
2024-04-16,PA003,Perth,London,Premium Economy,825,Yes,3,Dairy Free
2024-10-30,PA001,New York,London,Premium Economy,1622,No,3,Vegan
2024-08-12,PA008,New York,Perth,Premium Economy,792,No,1,Dairy Free
2024-06-11,PA005,Tokyo,London,First Class,468,Yes,1,Nut Free
2024-08-03,PA010,New York,Tokyo,Business Class,714,No,0,Vegetarian
2024-09-21,PA011,Tokyo,Perth,Economy,1195,No,3,Vegetarian
2024-08-19,PA009,Tokyo,New York,Economy,2725,No,0,Vegetarian
2024-08-13,PA007,Perth,New York,Business Class,302,Yes,2,None
2024-07-20,PA011,Tokyo,Perth,Business Class,684,No,1,Vegetarian
2024-05-20,PA001,New York,London,Business Class,799,Yes,0,Nut Free
2024-07-03,PA007,Perth,New York,Business Class,278,No,1,Dairy Free
2024-06-08,PA002,London,New York,Business Class,283,No,1,None
2024-01-15,PA009,Tokyo,New York,Business Class,397,Yes,3,Dairy Free
2024-08-02,PA008,New York,Perth,Premium Economy,1025,No,0,Vegan
2024-05-17,PA009,Tokyo,New York,First Class,264,No,3,Dairy Free
2024-05-21,PA001,New York,London,First Class,493,Yes,0,Vegan
2024-06-07,PA008,New York,Perth,Economy,2110,Yes,0,Egg Free
2024-06-07,PA007,Perth,New York,Business Class,470,No,0,Vegan
2024-01-23,PA011,Tokyo,Perth,First Class,635,Yes,2,None
2024-04-02,PA007,Perth,New York,First Class,553,No,2,Vegetarian
2024-07-31,PA002,London,New York,First Class,392,Yes,0,None
2024-09-05,PA006,London,Tokyo,Economy,3345,Yes,3,None
2024-12-21,PA004,London,Perth,Business Class,244,No,0,Egg Free
2024-06-05,PA010,New York,Tokyo,Premium Economy,1200,No,2,Vegetarian
2024-07-28,PA003,Perth,London,Premium Economy,730,No,1,Vegetarian
2024-12-15,PA012,Perth,Tokyo,Economy,2975,No,3,Vegan
2024-01-21,PA009,Tokyo,New York,Business Class,352,Yes,0,Egg Free
2024-04-15,PA011,Tokyo,Perth,First Class,334,Yes,1,None
2024-07-08,PA005,Tokyo,London,Business Class,619,No,3,Vegan
2024-12-09,PA008,New York,Perth,First Class,605,No,3,Vegan
2024-02-22,PA011,Tokyo,Perth,First Class,632,No,1,Vegetarian
2024-10-01,PA012,Perth,Tokyo,First Class,382,Yes,1,None
2024-01-18,PA004,London,Perth,First Class,232,No,1,Egg Free
2024-07-21,PA012,Perth,Tokyo,First Class,361,No,2,Egg Free
2024-01-17,PA002,London,New York,Business Class,672,Yes,2,Vegan
2024-04-19,PA011,Tokyo,Perth,Economy,1045,No,3,Egg Free
2024-11-02,PA011,Tokyo,Perth,Business Class,744,No,1,None
2024-03-22,PA011,Tokyo,Perth,First Class,563,Yes,0,Nut Free
2024-02-23,PA012,Perth,Tokyo,Business Class,472,Yes,0,Dairy Free
2024-12-09,PA011,Tokyo,Perth,Economy,3460,Yes,0,Vegan
2024-08-07,PA010,New York,Tokyo,Premium Economy,1150,No,1,None
2024-05-19,PA009,Tokyo,New York,Business Class,685,Yes,3,Egg Free
2024-02-12,PA005,Tokyo,London,Premium Economy,1157,Yes,0,Vegan
2024-04-25,PA001,New York,London,First Class,295,Yes,3,None
2024-02-17,PA002,London,New York,Business Class,692,No,1,Dairy Free
2024-10-08,PA003,Perth,London,Business Class,655,Yes,1,Egg Free
2024-02-12,PA011,Tokyo,Perth,First Class,207,Yes,3,Vegetarian
2024-06-26,PA008,New York,Perth,Premium Economy,1592,Yes,0,Vegan
2024-09-30,PA008,New York,Perth,Business Class,417,No,0,Dairy Free
2024-11-09,PA012,Perth,Tokyo,First Class,275,Yes,2,Vegetarian
2024-05-22,PA006,London,Tokyo,Business Class,660,Yes,1,Vegan
2024-12-05,PA010,New York,Tokyo,First Class,672,No,0,Vegetarian
2024-08-05,PA007,Perth,New York,Business Class,481,Yes,3,Egg Free
2024-05-10,PA011,Tokyo,Perth,Premium Economy,1277,Yes,2,Egg Free
2024-09-06,PA007,Perth,New York,Economy,3380,No,2,Nut Free
2024-02-17,PA002,London,New York,First Class,277,No,3,Egg Free
2024-03-07,PA003,Perth,London,Business Class,596,No,1,None
2024-02-11,PA012,Perth,Tokyo,Business Class,595,Yes,1,None
2024-07-25,PA004,London,Perth,Business Class,822,Yes,1,Nut Free
2024-04-24,PA001,New York,London,Business Class,382,No,0,Dairy Free
2024-07-30,PA002,London,New York,Premium Economy,1527,No,1,Vegan
2024-07-30,PA006,London,Tokyo,Premium Economy,1692,No,0,None
2024-12-25,PA004,London,Perth,Business Class,303,Yes,2,Vegan
2024-06-27,PA012,Perth,Tokyo,Business Class,835,Yes,2,Dairy Free
2024-08-09,PA008,New York,Perth,First Class,665,Yes,3,None
2024-04-15,PA006,London,Tokyo,First Class,678,Yes,1,Egg Free
2024-07-18,PA003,Perth,London,Business Class,786,No,3,Egg Free
2024-10-05,PA012,Perth,Tokyo,Business Class,252,Yes,1,None
2024-11-16,PA011,Tokyo,Perth,Business Class,691,No,0,Dairy Free
2024-05-28,PA008,New York,Perth,First Class,529,No,3,Vegetarian
2024-12-20,PA005,Tokyo,London,Premium Economy,922,No,3,Dairy Free
2024-06-12,PA007,Perth,New York,Business Class,721,Yes,3,Vegetarian
2024-10-23,PA002,London,New York,Business Class,276,Yes,2,Nut Free
2024-06-05,PA005,Tokyo,London,First Class,539,Yes,0,Dairy Free
2024-02-22,PA001,New York,London,Premium Economy,680,No,3,None
2024-01-04,PA010,New York,Tokyo,Business Class,577,No,0,Nut Free
2024-05-01,PA010,New York,Tokyo,Economy,1250,Yes,0,Vegan
2024-08-23,PA003,Perth,London,First Class,416,No,2,Vegan
2024-10-18,PA001,New York,London,Business Class,331,Yes,1,None
2024-09-10,PA012,Perth,Tokyo,Business Class,823,Yes,0,Vegan
2024-08-09,PA007,Perth,New York,Business Class,241,Yes,3,Dairy Free
2024-08-27,PA002,London,New York,Business Class,470,Yes,1,Nut Free
2024-04-13,PA003,Perth,London,Premium Economy,577,No,1,Egg Free
2024-02-28,PA011,Tokyo,Perth,Business Class,400,No,0,None
2024-02-15,PA011,Tokyo,Perth,First Class,371,Yes,0,Nut Free
2024-11-21,PA003,Perth,London,First Class,469,Yes,1,Vegetarian
2024-07-13,PA011,Tokyo,Perth,Premium Economy,1615,No,1,Egg Free
2024-02-02,PA001,New York,London,Business Class,358,Yes,0,Vegan
2024-12-13,PA008,New York,Perth,First Class,208,Yes,2,Nut Free
2024-03-04,PA007,Perth,New York,Premium Economy,1665,No,1,Egg Free
2024-07-02,PA003,Perth,London,First Class,357,Yes,0,Dairy Free
2024-04-19,PA012,Perth,Tokyo,Premium Economy,1650,No,1,Dairy Free
2024-03-15,PA012,Perth,Tokyo,First Class,368,No,3,Dairy Free
2024-08-14,PA007,Perth,New York,Economy,1110,No,0,Vegetarian
2024-06-03,PA001,New York,London,Economy,3140,No,1,Dairy Free
